Tipo de item;Chave da item;Resumo;Responsável;Relator;Prioridade;Status;Criado;Atualizado(a);Campo personalizado (Domínio de TI - Atuação)
Sub-tarefa;TC-251;Solicitar a equipe de manutenção para que instale cabeamento;Anthony Cruz;Anthony Cruz;Médio;Tarefas pendentes;11/03/2026 15:14;11/03/2026 15:19;Telefonia & Redes (Conectividade)
Sub-tarefa;TC-250;Instalar pacote Office 365 no setor de processos e criar sharepoint;Anthony Cruz;Anthony Cruz;Médio;Concluído;11/03/2026 11:53;11/03/2026 11:53;Software & Aplicações (Sistemas)
Sub-tarefa;TC-249;Instalar o Office 365 e configurar Iphone de Hemerson;Anthony Cruz;Anthony Cruz;Médio;Concluído;11/03/2026 11:44;11/03/2026 11:44;Software & Aplicações (Sistemas)
Sub-tarefa;TC-248;Instalar o Pacote Office na Gestão de Processos;Anthony Cruz;Anthony Cruz;Médio;Concluído;11/03/2026 08:06;11/03/2026 11:43;Software & Aplicações (Sistemas)
Sub-tarefa;TC-247;Instalar o Pacote Office na Gestão de Pessoas;Anthony Cruz;Anthony Cruz;Médio;Tarefas pendentes;11/03/2026 07:36;11/03/2026 11:44;Software & Aplicações (Sistemas)
Sub-tarefa;TC-246;Instalar Office 365 no Departamento Financeiro;Anthony Cruz;Anthony Cruz;Médio;Em Andamento;11/03/2026 07:36;11/03/2026 11:43;Software & Aplicações (Sistemas)
Sub-tarefa;TC-245;Instalar Office 365 no Departamento de Pessoal;Anthony Cruz;Anthony Cruz;Médio;Concluído;10/03/2026 15:44;10/03/2026 15:44;Software & Aplicações (Sistemas)
Tarefa;TC-244;Solicitar Internet para o Galpão do Jardim Luz;Anthony Cruz;Anthony Cruz;Médio;Concluído;10/03/2026 10:09;11/03/2026 15:18;Telefonia & Redes (Conectividade)
Sub-tarefa;TC-243;Criar Sharepoint do Financeiro e RH;Anthony Cruz;Anthony Cruz;Médio;Concluído;09/03/2026 17:34;10/03/2026 15:44;
Sub-tarefa;TC-242;Adicionar domínio da RD Construtora para o Office 365;Anthony Cruz;Anthony Cruz;Médio;Concluído;09/03/2026 16:44;09/03/2026 17:17;
